01:54:23.616670279 43684/43684 bash  | read < SUCCESS | pipe  | args=res=1 data=- 
01:54:23.616690488 43684/43684 bash  | read < SUCCESS | pipe  | args=res=1 data=u 
01:54:23.616721718 43684/43684 bash  | read < SUCCESS | pipe  | args=res=1 data=) 
01:54:23.616748890 43684/43684 bash  | read < SUCCESS | pipe  | args=res=1 data=" 
01:54:23.616782163 43684/43684 bash  | read < SUCCESS | pipe  | args=res=1 data=  
01:54:23.616803414 43684/43684 bash  | read < SUCCESS | pipe  | args=res=1 data=- 
01:54:23.616824655 43684/43684 bash  | read < SUCCESS | pipe  | args=res=1 data=n 
01:54:23.616848600 43684/43684 bash  | read < SUCCESS | pipe  | args=res=1 data=e 
01:54:23.616872045 43684/43684 bash  | read < SUCCESS | pipe  | args=res=1 data=  
01:54:23.616891633 43684/43684 bash  | read < SUCCESS | pipe  | args=res=1 data=0 
01:54:23.616905339 43684/43684 bash  | read < SUCCESS | pipe  | args=res=1 data=  
01:54:23.616919105 43684/43684 bash  | read < SUCCESS | pipe  | args=res=1 data=] 
01:54:23.616932341 43684/43684 bash  | read < SUCCESS | pipe  | args=res=1 data=  
01:54:23.616945235 43684/43684 bash  | read < SUCCESS | pipe  | args=res=1 data=& 
01:54:23.616958350 43684/43684 bash  | read < SUCCESS | pipe  | args=res=1 data=& 
01:54:23.616970975 43684/43684 bash  | read < SUCCESS | pipe  | args=res=1 data=  
01:54:23.616983629 43684/43684 bash  | read < SUCCESS | pipe  | args=res=1 data=e 
01:54:23.616998277 43684/43684 bash  | read < SUCCESS | pipe  | args=res=1 data=c 
01:54:23.617015369 43684/43684 bash  | read < SUCCESS | pipe  | args=res=1 data=h 
01:54:23.617044696 43684/43684 bash  | read < SUCCESS | pipe  | args=res=1 data=o 
01:54:23.626292376 43684/43684 bash  | read < SUCCESS | pipe  | args=res=1 data=y 
01:54:23.626306974 43684/43684 bash  | read < SUCCESS | pipe  | args=res=1 data=  
01:54:23.626319448 43684/43684 bash  | read < SUCCESS | pipe  | args=res=1 data=i 
01:54:23.626331892 43684/43684 bash  | read < SUCCESS | pipe  | args=res=1 data=n 
